Member_number,itemDescription
4014,soda
4014,pip fruit
4014,other vegetables
4014,yogurt
4014,misc. beverages
4014,citrus fruit
4010,other vegetables
4010,pork
4010,rolls/buns
4010,brown bread
4010,yogurt
4009,cream cheese
4009,canned fish
4009,yogurt
4009,whole milk
4009,frozen vegetables
4009,butter
4009,tropical fruit
4009,soda
4009,dish cleaner
4008,canned fish
4008,shopping bags
4008,margarine
4008,herbs
4008,other vegetables
4008,tropical fruit
4008,pip fruit
4008,meat
4008,root vegetables
4007,citrus fruit
4007,cream cheese
4007,bottled water
4007,specialty chocolate
4007,bottled beer
4007,canned beer
4007,tropical fruit
4007,salt
4007,white bread
4007,yogurt
4007,ice cream
4006,sausage
4006,shopping bags
4006,whipped/sour cream
4006,other vegetables
4006,kitchen towels
4006,pet care
4006,butter
4006,napkins
4006,coffee
4006,root vegetables
4006,canned beer
4004,ham
4004,turkey
4004,root vegetables
4004,tropical fruit
4004,pasta
4004,soda
4004,coffee
4004,pastry
4004,citrus fruit
4004,sausage
4001,margarine
4001,dessert
4001,butter
4001,candy
4001,soda
4001,tropical fruit
3995,soda
3995,brown bread
3995,pip fruit
3995,other vegetables
3993,butter milk
3993,fruit/vegetable juice
3993,rolls/buns
3992,specialty bar
3992,dessert
3992,cream cheese
3992,UHT-milk
3989,rolls/buns
3989,chicken
3989,root vegetables
3989,baking powder
3989,ready soups
3989,meat
3987,yogurt
3987,citrus fruit
3987,rolls/buns
3987,pip fruit
3987,root vegetables
3987,other vegetables
3987,whole milk
3987,sausage
3987,pastry
3987,ham
3987,domestic eggs
3985,candy
3985,bottled beer
3985,cake bar
3985,bottled water
3985,whole milk
3985,baking powder
3985,cling film/bags
3985,liver loaf
3985,beverages
3985,whipped/sour cream
3985,canned beer
3982,yogurt
3982,meat
3982,jam
3982,canned beer
3982,dessert
3982,root vegetables
3982,sausage
3982,brown bread
3982,beverages
3982,salt
3982,pip fruit
3982,soda
3981,dessert
3981,domestic eggs
3981,finished products
3981,spread cheese
3980,yogurt
3980,rolls/buns
3980,citrus fruit
3980,pastry
3980,root vegetables
3980,canned fish
3980,pip fruit
3980,soda
3980,cake bar
3979,citrus fruit
3979,canned fish
3979,ham
3979,ice cream
3977,butter milk
3977,brown bread
3977,frozen meals
3977,whole milk
3977,oil
3977,yogurt
3976,packaged fruit/vegetables
3976,bottled water
3976,yogurt
3976,onions
3976,specialty cheese
3976,other vegetables
3976,sliced cheese
3976,pasta
3976,chicken
3976,rolls/buns
3976,tropical fruit
3975,soda
3975,liquor
3975,hamburger meat
3975,tropical fruit
3974,bottled water
3974,sausage
3974,frankfurter
3974,sliced cheese
3974,curd
3974,whole milk
3973,other vegetables
3973,curd
3973,turkey
3973,hygiene articles
3973,rolls/buns
3973,cat food
3973,coffee
3973,pickled vegetables
3973,domestic eggs
3973,fruit/vegetable juice
3973,canned beer
3973,pip fruit
3973,butter
3973,root vegetables
3972,bottled water
3972,rice
3972,soda
3972,candy
3972,hard cheese
3972,frankfurter
3972,rolls/buns
3972,hygiene articles
3972,baking powder
3972,butter
3972,canned beer
3972,chewing gum
3972,pip fruit
3972,UHT-milk
3969,root vegetables
3969,whole milk
3969,rolls/buns
3969,waffles
3967,whole milk
3967,rolls/buns
3967,sauces
3967,other vegetables
3967,butter
3967,root vegetables
3967,yogurt
3967,soda
3967,chocolate
3967,pasta
3967,specialty bar
3967,shopping bags
3967,hard cheese
3967,whipped/sour cream
3965,domestic eggs
3965,semi-finished bread
3965,yogurt
3965,rolls/buns
3965,sausage
3965,tropical fruit
3965,white bread
3963,domestic eggs
3963,red/blush wine
3963,pork
3963,other vegetables
3963,sausage
3963,candy
3963,specialty bar
3963,citrus fruit
3963,whipped/sour cream
3963,whole milk
3962,pork
3962,sliced cheese
3962,sausage
3962,sauces
3962,tropical fruit
3962,rolls/buns
3962,whipped/sour cream
3962,butter
3962,coffee
3962,white bread
3962,hamburger meat
3962,yogurt
3960,frankfurter
3960,root vegetables
3960,frozen potato products
3960,whole milk
3960,margarine
3960,snack products
3960,processed cheese
3960,canned beer
3960,baking powder
3960,pork
3960,specialty bar
3960,rolls/buns
3960,whipped/sour cream
3960,curd
3960,tropical fruit
3960,sugar
3959,whipped/sour cream
3959,dishes
3959,white bread
3959,sliced cheese
3959,pip fruit
3959,instant coffee
3959,tropical fruit
3959,popcorn
3959,rolls/buns
3959,domestic eggs
3959,sparkling wine
3959,hamburger meat
3958,rolls/buns
3958,brown bread
3958,citrus fruit
3958,soda
3958,curd
3957,processed cheese
3957,frankfurter
3957,tropical fruit
3957,canned vegetables
3957,salt
3957,curd
3957,bottled water
3957,whole milk
3957,rolls/buns
3957,chicken
3957,hard cheese
3957,frozen potato products
3957,cake bar
3957,shopping bags
3957,fruit/vegetable juice
3957,root vegetables
3957,salty snack
3957,beef
3957,domestic eggs
3956,waffles
3956,hamburger meat
3956,shopping bags
3956,chocolate
3956,sugar
3956,processed cheese
3956,canned fish
3956,margarine
3956,butter milk
3956,domestic eggs
3956,root vegetables
3956,yogurt
3956,soda
3954,frankfurter
3954,beef
3954,canned beer
3954,napkins
3954,rice
3954,onions
3954,frozen fish
3949,other vegetables
3949,bottled water
3948,shopping bags
3948,sparkling wine
3948,berries
3948,rolls/buns
3948,whole milk
3948,waffles
3948,ham
3948,whipped/sour cream
3948,bottled beer
3948,rum
3948,soda
3942,frozen vegetables
3942,waffles
3942,flour
3942,condensed milk
3942,canned fish
3942,yogurt
3942,other vegetables
3942,white wine
3942,soda
3942,shopping bags
3942,domestic eggs
3942,rolls/buns
3942,cling film/bags
3942,hamburger meat
3942,whole milk
3942,soups
3942,dish cleaner
3938,other vegetables
3938,berries
3938,shopping bags
3938,white bread
3938,ham
3938,pork
3938,whipped/sour cream
3938,chicken
3938,cereals
3938,pip fruit
3938,meat
3938,whole milk
3938,canned vegetables
3938,bottled water
3938,citrus fruit
3936,other vegetables
3936,pickled vegetables
3936,ham
3936,domestic eggs
3935,berries
3935,specialty bar
3935,sausage
3935,rolls/buns
3935,tropical fruit
3935,yogurt
3935,waffles
3933,hard cheese
3933,salty snack
3933,waffles
3933,shopping bags
3932,coffee
3932,bottled beer
3929,spread cheese
3929,yogurt
3929,specialty cheese
3929,root vegetables
3929,semi-finished bread
3929,pork
3929,frozen vegetables
3929,dish cleaner
3925,shopping bags
3925,turkey
3925,root vegetables
3925,beef
3925,curd
3925,margarine
3925,bottled water
3923,frankfurter
3923,bottled beer
3923,root vegetables
3923,butter
3923,shopping bags
3923,other vegetables
3923,canned vegetables
3923,bottled water
3922,margarine
3922,dessert
3922,yogurt
3922,whole milk
3922,rolls/buns
3922,hard cheese
3922,grapes
3922,citrus fruit
3922,soda
3922,beef
3922,chocolate
3922,cream cheese
3922,sausage
3922,napkins
3920,soda
3920,coffee
3920,brown bread
3920,margarine
3920,beverages
3920,whole milk
3920,pastry
3920,napkins
3920,brandy
3918,napkins
3918,beef
3918,canned beer
3918,whipped/sour cream
3918,chewing gum
3918,butter
3918,brown bread
3918,specialty cheese
3918,rolls/buns
3918,salty snack
3918,specialty chocolate
3918,waffles
3918,tropical fruit
3916,tropical fruit
3916,citrus fruit
3916,onions
3916,canned beer
3916,whole milk
3916,dishes
3915,domestic eggs
3915,whole milk
3915,pastry
3915,other vegetables
3915,ham
3915,frankfurter
3915,coffee
3915,rolls/buns
3915,tropical fruit
3915,brown bread
3915,shopping bags
3915,pork
3915,soda
3915,pip fruit
3915,misc. beverages
3915,bottled beer
3915,cream cheese
3915,semi-finished bread
3915,hard cheese
3915,onions
3914,specialty bar
3914,shopping bags
3914,canned beer
3914,cake bar
3914,rolls/buns
3908,sausage
3908,flour
3908,pot plants
3908,pastry
3904,sausage
3904,whipped/sour cream
3904,citrus fruit
3904,curd
3904,grapes
3904,beef
3904,berries
3902,rolls/buns
3902,ham
3902,whole milk
3902,root vegetables
3902,canned beer
3897,seasonal products
3897,UHT-milk
3897,baking powder
3897,brown bread
3897,root vegetables
3897,yogurt
3897,coffee
3897,other vegetables
3897,bottled water
3897,soda
3897,salty snack
3897,canned beer
3897,hamburger meat
3896,spread cheese
3896,dessert
3896,domestic eggs
3896,sausage
3896,soda
3896,misc. beverages
3896,pip fruit
3896,salty snack
3896,dishes
3894,root vegetables
3894,other vegetables
3894,sausage
3894,cream cheese
3894,UHT-milk
3894,pastry
3894,fruit/vegetable juice
3894,curd
3894,finished products
3894,yogurt
3893,roll products
3893,rolls/buns
3893,salty snack
3893,whole milk
3893,root vegetables
3893,pip fruit
3893,sausage
3893,shopping bags
3893,soda
3893,canned beer
3891,dessert
3891,cat food
3891,flour
3891,hard cheese
3891,sugar
3891,chicken
3891,shopping bags
3891,rolls/buns
3891,fruit/vegetable juice
3891,pip fruit
3891,brown bread
3888,sausage
3888,pork
3888,shopping bags
3888,butter
3884,beef
3884,butter
3884,rolls/buns
3884,citrus fruit
3883,UHT-milk
3883,whole milk
3883,citrus fruit
3879,hamburger meat
3879,rolls/buns
3879,tropical fruit
3879,yogurt
3879,soda
3879,canned vegetables
3879,whipped/sour cream
3879,specialty bar
3879,whole milk
3879,dessert
3879,brown bread
3879,grapes
3879,curd
3871,whole milk
3871,waffles
3871,salty snack
3871,tropical fruit
3871,rolls/buns
3871,bottled beer
3871,margarine
3870,processed cheese
3870,yogurt
3870,root vegetables
3870,frozen fish
3869,chocolate
3869,sausage
3869,detergent
3869,white bread
3869,herbs
3869,canned beer
3866,bottled beer
3866,onions
3866,finished products
3866,hygiene articles
3866,root vegetables
3866,bottled water
3866,whole milk
3866,chocolate
3866,cocoa drinks
3862,condensed milk
3862,hygiene articles
3862,bottled water
3862,rolls/buns
3862,processed cheese
3862,yogurt
3862,salty snack
3862,instant coffee
3862,cake bar
3862,artif. sweetener
3862,butter
3862,onions
3862,sausage
3862,fruit/vegetable juice
3862,sugar
3862,sliced cheese
3861,pip fruit
3861,whipped/sour cream
3861,dessert
3861,bottled water
3861,rolls/buns
3861,chocolate
3861,root vegetables
3860,frozen vegetables
3860,domestic eggs
3860,specialty cheese
3860,chewing gum
3860,bottled beer
3860,rolls/buns
3860,whole milk
3858,rolls/buns
3858,soda
3855,coffee
3855,yogurt
3855,meat
3855,pork
3855,butter
3855,other vegetables
3855,domestic eggs
3855,chocolate
3855,specialty chocolate
3855,tropical fruit
3855,cream cheese
3855,citrus fruit
3855,whole milk
3855,oil
3855,vinegar
3855,white wine
3855,curd
3855,specialty bar
3854,citrus fruit
3854,whole milk
3854,coffee
3854,soda
3854,shopping bags
3852,margarine
3852,citrus fruit
3852,other vegetables
3852,rolls/buns
3852,dishes
3849,berries
3849,sugar
3849,root vegetables
3849,beverages
3849,baking powder
3849,pork
3849,shopping bags
3849,whole milk
3849,dessert
3849,female sanitary products
3848,butter
3848,soft cheese
3848,brown bread
3848,bottled beer
3848,tropical fruit
3848,whole milk
3848,cling film/bags
3848,hard cheese
3848,chewing gum
3848,root vegetables
3848,chocolate marshmallow
3848,frozen vegetables
3848,shopping bags
3847,UHT-milk
3847,hamburger meat
3847,sausage
3847,candy
3847,coffee
3847,domestic eggs
3847,beef
3847,canned beer
3847,rolls/buns
3847,berries
3845,hygiene articles
3845,other vegetables
3844,pork
3844,yogurt
3844,pip fruit
3844,semi-finished bread
3844,other vegetables
3844,pot plants
3844,citrus fruit
3844,soda
3844,beverages
3844,coffee
3844,whole milk
3844,curd
3844,pickled vegetables
3842,bottled water
3842,white bread
3842,whole milk
3842,frozen vegetables
3842,other vegetables
3842,beef
3842,pastry
3842,pot plants
3839,pip fruit
3839,pasta
3839,rice
3839,citrus fruit
3839,yogurt
3839,hard cheese
3839,soft cheese
3839,canned fish
3839,whole milk
3837,ham
3837,other vegetables
3837,bottled water
3837,hard cheese
3829,coffee
3829,tropical fruit
3829,soda
3829,chewing gum
3829,beef
3829,yogurt
3829,citrus fruit
3829,pickled vegetables
3826,coffee
3826,shopping bags
3823,frozen vegetables
3823,whole milk
3821,tropical fruit
3821,yogurt
3821,whole milk
3821,herbs
3821,ham
3821,whipped/sour cream
3821,instant coffee
3821,white wine
3821,pastry
3821,ice cream
3821,soups
3821,chewing gum
3821,condensed milk
3821,turkey
3820,tropical fruit
3820,bottled beer
3820,soda
3820,butter milk
3820,yogurt
3820,misc. beverages
3818,yogurt
3818,soda
3818,cat food
3818,sugar
3818,whole milk
3818,margarine
3818,meat
3818,root vegetables
3818,curd
3818,turkey
3818,tropical fruit
3818,other vegetables
3817,frozen meals
3817,bottled water
3817,hard cheese
3817,dessert
3817,red/blush wine
3817,pastry
3817,yogurt
3817,domestic eggs
3817,sugar
3817,chicken
3817,rolls/buns
3817,waffles
3816,root vegetables
3816,rolls/buns
3816,packaged fruit/vegetables
3816,semi-finished bread
3816,fruit/vegetable juice
3816,canned beer
3816,white bread
3813,specialty bar
3813,rolls/buns
3813,beef
3813,cat food
3813,whole milk
3812,rolls/buns
3812,domestic eggs
3812,bottled water
3812,frozen potato products
3812,meat
3812,white bread
3812,whipped/sour cream
3812,whole milk
3812,soda
3812,cereals
3812,berries
3812,sausage
3812,beef
3811,soft cheese
3811,canned beer
3811,whole milk
3811,soda
3811,bottled water
3811,rolls/buns
3811,dessert
3811,other vegetables
3811,yogurt
3811,red/blush wine
3811,pastry
3811,root vegetables
3811,sausage
3810,soft cheese
3810,other vegetables
3810,margarine
3810,yogurt
3810,grapes
3808,whipped/sour cream
3808,frozen meals
3808,other vegetables
3808,whole milk
3808,curd
3808,bottled water
3808,UHT-milk
3807,cat food
3807,pork
3807,seasonal products
3807,pip fruit
3807,fruit/vegetable juice
3807,canned beer
3802,whipped/sour cream
3802,chewing gum
3802,specialty chocolate
3802,citrus fruit
3799,pip fruit
3799,whipped/sour cream
3799,hamburger meat
3799,pork
3799,tropical fruit
3799,chocolate
3797,other vegetables
3797,sausage
3797,tropical fruit
3797,fruit/vegetable juice
3797,butter
3797,whole milk
3797,semi-finished bread
3797,root vegetables
3797,waffles
3797,processed cheese
3796,seasonal products
3796,bottled beer
3794,butter
3794,tropical fruit
3794,bottled water
3794,onions
3794,other vegetables
3794,meat
3794,soda
3794,citrus fruit
3794,berries
3790,frankfurter
3790,whole milk
3790,chicken
3790,pastry
3790,yogurt
3790,domestic eggs
3790,dish cleaner
3790,coffee
3790,brown bread
3790,sausage
3789,rolls/buns
3789,root vegetables
3789,whole milk
3789,shopping bags
3789,pot plants
3789,brandy
3789,hygiene articles
3789,soda
3789,margarine
3789,bottled water
3789,salty snack
3788,soda
3788,tropical fruit
3787,salty snack
3787,pasta
3787,pip fruit
3787,yogurt
3787,white bread
3787,pork
3787,whipped/sour cream
3787,domestic eggs
3786,mayonnaise
3786,pastry
3786,ice cream
3786,hard cheese
3786,UHT-milk
3786,baking powder
3786,bottled water
3786,berries
3786,brown bread
3786,curd
3785,cream cheese
3785,root vegetables
3785,domestic eggs
3785,cat food
3785,frozen fish
3785,other vegetables
3785,fruit/vegetable juice
3784,chocolate
3784,pickled vegetables
3784,seasonal products
3784,spread cheese
3784,whipped/sour cream
3784,herbs
3784,waffles
3784,root vegetables
3784,soda
3781,beverages
3781,tropical fruit
3781,pip fruit
3781,frankfurter
3781,margarine
3781,root vegetables
3781,frozen dessert
3778,soda
3778,rolls/buns
3778,tropical fruit
3778,citrus fruit
3778,whole milk
3778,coffee
3778,bottled beer
3778,meat
3778,pip fruit
3778,frozen meals
3778,specialty chocolate
3778,pastry
3775,whipped/sour cream
3775,coffee
3775,dessert
3775,root vegetables
3775,sausage
3775,margarine
3775,whole milk
3775,pork
3775,beverages
3775,brown bread
3775,yogurt
3775,soda
3772,whole milk
3772,tropical fruit
3772,yogurt
3772,shopping bags
3772,waffles
3772,pot plants
3772,cake bar
3772,meat
3771,dishes
3771,bottled water
3770,curd
3770,sausage
3768,soda
3768,beef
3768,tropical fruit
3768,brown bread
3768,dessert
3768,ham
3768,bottled water
3768,yogurt
3768,berries
3768,root vegetables
3768,shopping bags
3768,pork
3768,whole milk
3768,frozen vegetables
3768,hygiene articles
3768,curd
3767,white bread
3767,meat
3767,yogurt
3767,onions
3767,pasta
3767,beverages
3767,bottled beer
3766,rolls/buns
3766,napkins
3766,pork
3766,frankfurter
3766,tropical fruit
3766,nuts/prunes
3766,citrus fruit
3766,shopping bags
3763,flour
3763,ham
3763,whole milk
3763,frozen vegetables
3763,beef
3763,citrus fruit
3763,sparkling wine
3763,tropical fruit
3763,coffee
3763,chocolate
3763,canned beer
3763,bottled water
3758,pork
3758,domestic eggs
3758,yogurt
3758,coffee
3758,whole milk
3758,rolls/buns
3758,whipped/sour cream
3758,grapes
3756,other vegetables
3756,napkins
3756,pip fruit
3756,bottled water
3756,yogurt
3756,canned beer
3756,sausage
3756,soda
3756,whole milk
3756,packaged fruit/vegetables
3755,whole milk
3755,butter milk
3755,ice cream
3755,hygiene articles
3755,root vegetables
3755,beef
3748,butter
3748,butter milk
3748,pastry
3748,packaged fruit/vegetables
3748,spread cheese
3748,hamburger meat
3748,citrus fruit
3748,canned beer
3748,brown bread
3748,pet care
3745,specialty cheese
3745,bottled water
3745,sausage
3745,root vegetables
3745,specialty bar
3745,pickled vegetables
3745,chocolate
3745,butter
3745,frankfurter
3745,other vegetables
3745,soda
3745,cake bar
3745,cream cheese
3744,canned beer
3744,tropical fruit
3744,butter
3744,domestic eggs
3744,misc. beverages
3744,bottled water
3744,processed cheese
3744,canned vegetables
3744,rolls/buns
3744,salt
3744,whole milk
3743,coffee
3743,tropical fruit
3743,canned beer
3743,butter
3743,curd
3743,soda
3743,cake bar
3743,pickled vegetables
3743,whole milk
3743,domestic eggs
3743,sliced cheese
3743,sausage
3743,hard cheese
3743,brown bread
3742,hamburger meat
3742,shopping bags
3742,soda
3742,sausage
3739,whole milk
3739,salty snack
3739,red/blush wine
3739,rolls/buns
3739,soda
3735,rolls/buns
3735,seasonal products
3735,margarine
3735,pet care
3735,bottled beer
3735,berries
3735,soda
3735,whole milk
3733,white bread
3733,fruit/vegetable juice
3733,butter
3732,pastry
3732,cat food
3732,fruit/vegetable juice
3732,shopping bags
3732,oil
3732,ham
3732,chicken
3732,other vegetables
3732,salty snack
3732,whole milk
3732,butter
3732,ice cream
3732,berries
3732,nuts/prunes
3732,white wine
3732,root vegetables
3732,pip fruit
3732,yogurt
3730,pastry
3730,candy
3730,other vegetables
3730,onions
3730,pork
3730,chicken
3730,sliced cheese
3730,dessert
3728,ice cream
3728,berries
3728,white bread
3728,rolls/buns
3728,waffles
3728,dessert
3728,other vegetables
3728,specialty bar
3728,whipped/sour cream
3728,canned beer
3728,specialty chocolate
3728,frozen potato products
3727,curd
3727,cat food
3727,rolls/buns
3727,pastry
3727,whole milk
3727,napkins
3727,soda
3727,beverages
3727,tropical fruit
3727,citrus fruit
3727,coffee
3725,UHT-milk
3725,rolls/buns
3725,root vegetables
3725,coffee
3724,curd
3724,white wine
3724,frozen potato products
3724,meat
3724,sausage
3723,pip fruit
3723,snack products
3719,yogurt
3719,butter
3719,brown bread
3719,rolls/buns
3719,canned beer
3719,beverages
3719,whole milk
3719,butter milk
3719,meat
3719,condensed milk
3719,pastry
3719,other vegetables
3719,misc. beverages
3719,soda
3717,frozen vegetables
3717,hamburger meat
3717,frozen meals
3717,soda
3717,pip fruit
3717,fruit/vegetable juice
3717,tropical fruit
3717,rolls/buns
3717,yogurt
3711,berries
3711,cat food
3711,whole milk
3711,domestic eggs
3709,waffles
3709,pastry
3709,root vegetables
3709,other vegetables
3709,frankfurter
3709,specialty cheese
3709,herbs
3709,canned vegetables
3709,pork
3709,yogurt
3709,cat food
3709,citrus fruit
3709,fruit/vegetable juice
3709,berries
3707,pork
3707,domestic eggs
3707,herbs
3707,sausage
3706,frozen potato products
3706,pastry
3697,brown bread
3697,spread cheese
3697,dessert
3697,root vegetables
3697,shopping bags
3697,sausage
3697,UHT-milk
3697,whole milk
3697,other vegetables
3696,waffles
3696,roll products
3696,frozen vegetables
3696,sparkling wine
3696,citrus fruit
3695,citrus fruit
3695,sliced cheese
3695,soda
3695,frozen vegetables
3695,margarine
3695,dessert
3695,pastry
3695,rolls/buns
3694,dish cleaner
3694,rolls/buns
3694,chicken
3694,cat food
3694,other vegetables
3694,dessert
3694,whole milk
3694,citrus fruit
3694,frozen meals
3691,frankfurter
3691,root vegetables
3691,finished products
3691,canned beer
3691,berries
3691,yogurt
3691,candy
3691,shopping bags
3691,soda
3691,coffee
3691,bottled beer
3691,butter
3691,tropical fruit
3691,baking powder
3691,bottled water
3691,brown bread
3691,sausage
3690,rolls/buns
3690,sugar
3690,spread cheese
3690,cake bar
3690,sausage
3690,pip fruit
3690,yogurt
3690,ice cream
3690,pork
3690,citrus fruit
3690,other vegetables
3690,frankfurter
3688,soap
3688,whole milk
3688,rolls/buns
3688,sausage
3688,rice
3688,shopping bags
3688,frozen dessert
3688,tropical fruit
3688,yogurt
3688,pork
3688,whipped/sour cream
3688,brandy
3688,soda
3687,soda
3687,white wine
3687,frankfurter
3687,white bread
3687,other vegetables
3687,rolls/buns
3687,whole milk
3687,misc. beverages
3687,coffee
3687,beverages
3687,chocolate marshmallow
3687,pork
3687,citrus fruit
3687,whipped/sour cream
3687,herbs
3687,finished products
3685,specialty chocolate
3685,soda
3685,dessert
3685,tropical fruit
3685,curd
3685,female sanitary products
3684,rolls/buns
3684,whole milk
3684,chocolate
3684,ham
3684,citrus fruit
3684,napkins
3684,other vegetables
3684,butter
3684,root vegetables
3684,fruit/vegetable juice
3683,other vegetables
3683,frozen meals
3683,pork
3683,canned beer
3683,hard cheese
3683,bottled water
3683,root vegetables
3683,curd
3683,shopping bags
3683,specialty bar
3683,ice cream
3683,candy
3682,chocolate
3682,tropical fruit
3682,oil
3682,waffles
3682,shopping bags
3682,whole milk
3682,bottled water
3682,ready soups
3682,frozen fish
3682,canned beer
3682,other vegetables
3682,citrus fruit
3682,soda
3682,processed cheese
3682,margarine
3680,shopping bags
3680,fruit/vegetable juice
3680,rolls/buns
3680,butter milk
3680,curd
3680,pork
3680,hamburger meat
3680,whole milk
3680,soda
3675,popcorn
3675,pastry
3675,butter milk
3675,liquor
3675,pork
3675,mayonnaise
3675,whole milk
3675,meat
3675,salty snack
3675,white wine
3674,bottled water
3674,frozen vegetables
3674,other vegetables
3674,beverages
3674,canned beer
3674,shopping bags
3674,root vegetables
3674,cream cheese
3674,yogurt
3673,cream cheese
3673,bottled water
3673,frankfurter
3673,butter milk
3673,other vegetables
3673,packaged fruit/vegetables
3673,specialty bar
3673,domestic eggs
3671,oil
3671,brown bread
3671,dishes
3671,pork
3671,whole milk
3671,shopping bags
3671,bottled beer
3671,onions
3670,domestic eggs
3670,butter milk
3670,grapes
3670,dish cleaner
3670,chocolate
3670,rolls/buns
3670,detergent
3669,processed cheese
3669,margarine
3669,bottled water
3669,citrus fruit
3669,chocolate marshmallow
3669,white wine
3669,shopping bags
3669,white bread
3669,pork
3668,root vegetables
3668,whole milk
3668,pip fruit
3668,fruit/vegetable juice
3668,pot plants
3668,citrus fruit
3668,rolls/buns
3668,brandy
3668,bottled beer
3667,whole milk
3667,candy
3667,soda
3667,cereals
3667,fruit/vegetable juice
3667,sausage
3667,bottled water
3667,hard cheese
3665,bottled water
3665,soda
3665,butter milk
3665,shopping bags
3665,hygiene articles
3665,chocolate
3665,citrus fruit
3663,margarine
3663,citrus fruit
3663,rolls/buns
3663,cream cheese
3663,roll products
3663,tropical fruit
3663,whole milk
3663,frozen fish
3663,chewing gum
3663,frozen vegetables
3663,white bread
3663,hygiene articles
3663,pork
3663,sugar
3663,root vegetables
3663,bottled beer
3662,rolls/buns
3662,whole milk
3662,bottled water
3662,other vegetables
3662,beverages
3662,chicken
3662,white wine
3661,pip fruit
3661,pastry
3661,citrus fruit
3661,shopping bags
3661,other vegetables
3661,frozen vegetables
3661,butter
3661,white wine
3661,whole milk
3661,misc. beverages
3660,coffee
3660,sugar
3660,rolls/buns
3660,pip fruit
3660,canned vegetables
3660,candy
3660,pastry
3660,yogurt
3660,chocolate
3657,sausage
3657,whole milk
3657,butter
3657,ham
3657,specialty chocolate
3657,domestic eggs
3657,rolls/buns
3657,meat
3657,pastry
3657,processed cheese
3657,soft cheese
3657,curd
3657,soda
3657,grapes
3657,white bread
3657,female sanitary products
3657,liver loaf
3656,whole milk
3656,tropical fruit
3656,frozen fish
3656,beef
3656,frozen meals
3656,other vegetables
3656,canned beer
3656,yogurt
3651,brown bread
3651,rolls/buns
3651,cat food
3651,pastry
3651,root vegetables
3651,yogurt
3651,oil
3651,grapes
3651,hamburger meat
3651,meat
3651,whole milk
3651,sausage
3651,cream cheese
3651,spread cheese
3651,other vegetables
3651,butter milk
3651,pet care
3651,misc. beverages
3651,shopping bags
3647,other vegetables
3647,frozen meals
3647,cream cheese
3647,specialty chocolate
3647,whole milk
3645,frankfurter
3645,citrus fruit
3645,candy
3645,chicken
3645,rolls/buns
3645,bottled water
3645,chocolate
3645,sugar
3645,yogurt
3644,white wine
3644,yogurt
3644,bottled beer
3644,pastry
3643,kitchen towels
3643,bottled beer
3643,margarine
3643,pastry
3643,sugar
3643,root vegetables
3643,fruit/vegetable juice
3643,sliced cheese
3643,soda
3643,frozen vegetables
3643,whipped/sour cream
3643,frankfurter
3642,soda
3642,sausage
3642,dish cleaner
3642,pork
3642,other vegetables
3642,tropical fruit
3642,napkins
3642,rolls/buns
3642,domestic eggs
3641,root vegetables
3641,soft cheese
3641,frozen meals
3641,white bread
3641,bottled water
3640,rolls/buns
3640,coffee
3640,bottled water
3640,white wine
3640,pastry
3640,domestic eggs
3640,whole milk
3640,pip fruit
3639,tropical fruit
3639,hygiene articles
3639,yogurt
3639,whipped/sour cream
3639,root vegetables
3638,grapes
3638,pork
3638,pip fruit
3638,citrus fruit
3636,sliced cheese
3636,soda
3636,rolls/buns
3636,bottled water
3636,brown bread
3636,whole milk
3632,candy
3632,tropical fruit
3632,oil
3631,root vegetables
3631,frozen vegetables
3629,citrus fruit
3629,cream cheese
3629,rolls/buns
3629,frankfurter
3629,red/blush wine
3629,other vegetables
3629,grapes
3629,chocolate
3629,tropical fruit
3629,detergent
3629,chicken
3629,yogurt
3627,frozen meals
3627,brandy
3627,butter
3627,whole milk
3623,beef
3623,salty snack
3623,brown bread
3623,liquor
3620,frankfurter
3620,soda
3620,tropical fruit
3620,specialty chocolate
3620,yogurt
3620,flour
3620,onions
3620,berries
3620,rolls/buns
3620,whole milk
3620,sausage
3620,whipped/sour cream
3619,napkins
3619,curd
3619,pork
3619,sugar
3619,cat food
3619,soda
3619,dessert
3619,tropical fruit
3618,brown bread
3618,flour
3618,mayonnaise
3618,beef
3617,pastry
3617,candy
3617,misc. beverages
3617,brown bread
3617,beef
3617,bottled beer
3617,other vegetables
3617,oil
3617,fruit/vegetable juice
3616,rolls/buns
3616,salty snack
3616,curd
3616,grapes
3616,misc. beverages
3616,soda
3616,cling film/bags
3615,chicken
3615,hygiene articles
3615,popcorn
3615,spread cheese
3615,whole milk
3615,herbs
3615,sugar
3615,brown bread
3611,domestic eggs
3611,curd
3611,whipped/sour cream
3611,pastry
3611,sausage
3611,cake bar
3611,chicken
3610,whole milk
3610,other vegetables
3610,yogurt
3610,root vegetables
3609,specialty bar
3609,liquor
3609,sausage
3609,meat
3609,vinegar
3609,soda
3609,frozen meals
3609,fruit/vegetable juice
3609,rolls/buns
3609,chicken
3607,margarine
3607,sliced cheese
3606,other vegetables
3606,whipped/sour cream
3605,rolls/buns
3605,sausage
3605,soda
3603,root vegetables
3603,brown bread
3603,other vegetables
3603,whole milk
3603,beef
3603,UHT-milk
3603,white bread
3603,shopping bags
3603,tropical fruit
3603,curd
3602,domestic eggs
3602,butter
3602,whole milk
3602,margarine
3599,turkey
3599,whipped/sour cream
3599,other vegetables
3599,meat
3599,beverages
3599,dessert
